Date,Reading1,Reading2,Reading3,Reading4,Reading5,Reading6,Reading7
"Friday, January 01, 2021",John 10:1-9,Colossians 2:8-12,"Luke 2:20-21, 40-52",,,,
"Saturday, January 02, 2021",1 Timothy 3:13-16;4:1-5,Matthew 3:1-6,,,,,
"Sunday, January 03, 2021",John 20:11-18,2 Timothy 4:5-8,Mark 1:1-8,,,,
"Monday, January 04, 2021",1 Corinthians 4:9-16,John 1:18-28,,,,,
"Tuesday, January 05, 2021",1 Corinthians 9:19-27,Luke 3:1-18,,,,,
"Wednesday, January 06, 2021",Mark 1:9-11,Titus 2:11-14;3:4-7,Matthew 3:13-17,,,,
"Thursday, January 07, 2021",Acts 19:1-8,John 1:29-34,,,,,
"Friday, January 08, 2021",Romans 6:3-11,John 3:22-33,,,,,
"Saturday, January 09, 2021",Ephesians 6:10-17,Matthew 4:1-11,,,,,
"Sunday, January 10, 2021",John 20:19-31,Ephesians 4:7-13,Matthew 4:12-17,,,,
"Monday, January 11, 2021",Luke 6:17-23,Hebrews 13:7-16,Luke 4:1-15,,,,
"Tuesday, January 12, 2021",Acts 18:22-28,John 10:39-42,,,,,
"Wednesday, January 13, 2021",Galatians 3:23-29;4:1-5,Luke 20:1-8,,,,,
"Thursday, January 14, 2021",Acts 2:38-43,Luke 4:1-15,,,,,
"Friday, January 15, 2021",Galatians 5:22-26;6:1-2,Luke 12:32-40,,,,,
"Saturday, January 16, 2021",Acts 12:1-11,John 21:14-25,,,,,
"Sunday, January 17, 2021",John 21:1-14,Hebrews 13:17-21,Luke 17:12-19,,,,
"Monday, January 18, 2021",John 10:1-9,Hebrews 13:7-16,Matthew 5:14-19,,,,
"Tuesday, January 19, 2021",Galatians 5:22-26;6:1-2,Matthew 22:2-14,,,,,
"Wednesday, January 20, 2021",2 Corinthians 4:6-15,Luke 6:17-23,,,,,
"Thursday, January 21, 2021",Philippians 1:12-20,Luke 12:8-12,,,,,
"Friday, January 22, 2021",2 Timothy 1:3-8,Matthew 10:32-33; 37-38; 19:27-30,,,,,
"Saturday, January 23, 2021",Philippians 3:20-21;4:1-3,Mark 2:23-28; 3:1-5,,,,,
"Sunday, January 24, 2021",John 21:14-25,1 Timothy 1:15-17,Luke 18:35-43,,,,
"Monday, January 25, 2021",John 10:1-9,Hebrews 7:26-28;8:1-2,John 10:9-16,,,,
"Tuesday, January 26, 2021",Romans 6:18-23,Matthew 22:35-46,,,,,
"Wednesday, January 27, 2021",John 10:1-9,Hebrews 7:26-28;8:1-2,John 10:9-16,,,,
"Thursday, January 28, 2021",Galatians 5:22-26;6:1-2,Luke 6:17-23,,,,,
"Friday, January 29, 2021",Hebrews 10:32-38,Mark 9:33-41,,,,,
"Saturday, January 30, 2021",John 10:9-16,Hebrews 13:7-16,Matthew 5:14-19,,,,
"Sunday, January 31, 2021",Matthew 28:16-20,1 Timothy 4:9-15,Luke 19:1-10,,,,
"Monday, February 01, 2021",Romans 8:28-39,Luke 10:19-21,,,,,
"Tuesday, February 02, 2021",Luke 2:25-32,Hebrews 7:7-17,Luke 2:22-40,,,,
"Wednesday, February 03, 2021",Hebrews 9:11-14,Luke 2:25-38,,,,,
"Thursday, February 04, 2021",James 1:19-27,Mark 10:17-27,,,,,
"Friday, February 05, 2021",James 2:1-13,Mark 10:24-32,,,,,
"Saturday, February 06, 2021",John 10:1-9,Hebrews 7:26-28;8:1-2,John 10:9-16,,,,
"Sunday, February 07, 2021",Mark 16:1-8,2 Corinthians 6:1-10,Matthew 25:14-30,,,,
"Monday, February 08, 2021",Ephesians 2:4-10,Matthew 10:16-22,,,,,
"Tuesday, February 09, 2021",James 3:1-10,Mark 11:11-23,,,,,
"Wednesday, February 10, 2021",Luke 21:12-19,2 Timothy 2:1-10,John 15:17-27; 16:1-2,,,,
"Thursday, February 11, 2021",Hebrews 4:14-16;5:1-6,"Matthew 10:1, 5-8",,,,,
"Friday, February 12, 2021",1 Peter 1:1-25;2:1-10,Mark 12:1-12,,,,,
"Saturday, February 13, 2021",1 Thessalonians 5:14-23,Luke 17:3-10,,,,,
"Sunday, February 14, 2021",Mark 16:9-20,2 Corinthians 6:16-18;7:1,Matthew 15:21-28,,,,
"Monday, February 15, 2021",Philemon 1:1-25,Mark 12:13-17,,,,,
"Tuesday, February 16, 2021",1 Peter 3:10-22,Mark 12:18-27,,,,,
"Wednesday, February 17, 2021",2 Timothy 2:1-10,Luke 20:46-47; 21:1-4,,,,,
"Thursday, February 18, 2021",1 Peter 4:12-19;5:1-5,Mark 12:38-44,,,,,
"Friday, February 19, 2021",2 Peter 1:1-10,Mark 13:1-8,,,,,
"Saturday, February 20, 2021",2 Timothy 2:11-19,Luke 18:2-8,,,,,
"Sunday, February 21, 2021",Luke 24:1-12,2 Timothy 3:10-15,Luke 18:10-14,,,,
"Monday, February 22, 2021",2 Peter 1:20-21;2:1-9,Mark 13:9-13,,,,,
"Tuesday, February 23, 2021",2 Peter 2:9-22,Mark 13:14-23,,,,,
"Wednesday, February 24, 2021",Luke 7:17-30,2 Corinthians 4:6-15,Matthew 11:2-15,,,,
"Thursday, February 25, 2021",1 John 1:8-10;2:1-6,Mark 13:31-37; 14:1-2,,,,,
"Friday, February 26, 2021",1 John 2:7-17,Mark 14:3-9,,,,,
"Saturday, February 27, 2021",1 Timothy 6:11-16,Luke 20:46-47; 21:1-4,,,,,
"Sunday, February 28, 2021",Luke 24:13-35,1 Corinthians 6:12-20,Luke 15:11-32,,,,
"Monday, March 01, 2021",1 John 2:18-29;3:1-8,Mark 11:1-11,,,,,
"Tuesday, March 02, 2021",1 John 3:9-22,Mark 14:10-42,,,,,
"Wednesday, March 03, 2021",1 John 3:21-24;4:1-11,Mark 14:43-72; 15:1,,,,,
"Thursday, March 04, 2021",1 John 4:20-21;5:1-21,Mark 15:1-15,,,,,
"Friday, March 05, 2021",2 John 1:1-13,"Mark 15:20,22,25,33-41",,,,,
"Saturday, March 06, 2021",1 Thessalonians 4:13-17,"Luke 21:8-9,25-27,33-36",,,,,
"Sunday, March 07, 2021",1 Corinthians 8:8-13;9:1-2,Matthew 25:31-46,,,,,
"Monday, March 08, 2021",3 John 1:1-15,Luke 19:29-40; 22:7-39,,,,,
"Tuesday, March 09, 2021",Luke 21:12-19,Hebrews 12:1-10,Matthew 20:1-16,,,,
"Wednesday, March 10, 2021",Joel 3:12-21,Joel 2:12-26,,,,,
"Thursday, March 11, 2021",Jude 1:11-25,"Luke 23:1-31, 33, 44-56",,,,,
"Friday, March 12, 2021",Zechariah 8:7-17,Zechariah 8:19-23,,,,,
"Saturday, March 13, 2021",Galatians 5:22-26;6:1-2,Matthew 6:1-13,,,,,
"Sunday, March 14, 2021",John 20:1-10,Romans 13:11-14;14:1-4,Matthew 6:14-21,,,,
"Monday, March 15, 2021",Isaiah 1:1-20,Genesis 1:1-13,Proverbs 1:1-20,,,,
"Tuesday, March 16, 2021",Isaiah 1:19-31; 2:1-3,Genesis 1:14-23,Proverbs 1:20-33,,,,
"Wednesday, March 17, 2021",Isaiah 2:3-11,Genesis 1:31; 2:1-3,Proverbs 2:1-22,,,,
"Thursday, March 18, 2021",Isaiah 2:11-21,Genesis 2:4-19,Proverbs 3:1-18,,,,
"Friday, March 19, 2021",Isaiah 3:1-14,Genesis 2:20-25; 3:1-20,Proverbs 3:19-34,,,,
"Saturday, March 20, 2021",2 Timothy 2:1-10,Mark 2:23-28; 3:1-5,,,,,
