Day,Reading1,Reading2,Reading3,Reading4,Reading5,Reading6,Reading7
1/1/2021,Colossians 2:8-12,"Luke 2:20-21, 40-52",,,,,
1/1/2021,Hebrews 7:26-8:2,Luke 6:17-23,,,,,
1/1/2021,"Hebrews 11:8, 11-16",Mark 12:1-12,,,,,
1/2/2021,Galatians 5:22-6:2,Luke 6:17-23,,,,,
1/2/2021,1 Timothy 3:14-4:5,Matthew 3:1-11,,,,,
1/3/2021,2 Timothy 4:5-8,Mark 1:1-8,,,,,
1/4/2021,"Hebrews 11:17-23, 27-31",Luke 17:20-25,,,,,
1/5/2021,"Hebrews 12:25-26, 13:22-25",Luke 17:26-37,,,,,
1/5/2021,1 Corinthians 9:19-27,Luke 3:1-18,,,,,
1/6/2021,Titus 2:11-14; 3:4-7,Matthew 3:13-17,,,,,
1/7/2021,James 1:19-27,Luke 18:31-34,,,,,
1/7/2021,Acts 19:1-8,John 1:29-34,,,,,
1/8/2021,James 2:1-13,Luke 19:12-28,,,,,
1/9/2021,Ephesians 6:10-17,Matthew 4:1-11,,,,,
1/9/2021,Colossians 1:3-6,Luke 10:19-21,,,,,
1/10/2021,Ephesians 4:7-13,Matthew 4:12-17,,,,,
1/11/2021,2 Corinthians 4:6-15,Matthew 11:27-30,,,,,
1/11/2021,James 2:14-26,Luke 19:37-44,,,,,
1/12/2021,James 3:1-10,Luke 19:45-48,,,,,
1/13/2021,James 3:11-4:6,Luke 20:1-8,,,,,
1/14/2021,James 4:7-5:9,Luke 20:9-18,,,,,
1/15/2021,"1 Peter 1:1-2, 10-12, 2:6-10",Luke 20:19-26,,,,,
1/16/2021,1 Thessalonians 5:14-23,Luke 12:32-40,,,,,
1/17/2021,Hebrews 13:17-21,Luke 6:17-23,,,,,
1/17/2021,Colossians 1:12-18,Luke 18:18-27,,,,,
1/18/2021,"Hebrews 3:5-11, 17-19",Luke 20:27-44,,,,,
1/19/2021,Hebrews 4:1-13,Luke 21:12-19,,,,,
1/20/2021,Hebrews 13:17-21,Luke 6:17-23,,,,,
1/20/2021,Hebrews 5:11-6:8,"Luke 21:5-7, 10-11, 20-24",,,,,
1/21/2021,Hebrews 7:1-6,Luke 21:28-33,,,,,
1/22/2021,Hebrews 7:18-25,Luke 21:37-22:8,,,,,
1/23/2021,Ephesians 2:11-13,Luke 13:18-29,,,,,
1/24/2021,Colossians 3:4-11,Luke 18:35-43,,,,,
1/25/2021,1 Corinthians 12:7-11,John 10:9-16,,,,,
1/25/2021,Hebrews 8:7-13,Mark 8:11-21,,,,,
1/26/2021,"Hebrews 9:8-10, 15-23",Mark 8:22-26,,,,,
1/27/2021,Hebrews 7:26-8:2,John 10:9-16,,,,,
1/27/2021,Hebrews 10:1-18,Mark 8:30-34,,,,,
1/28/2021,Hebrews 10:35-11:7,Mark 9:10-16,,,,,
1/29/2021,"Hebrews 11:8, 11-16",Mark 9:33-41,,,,,
1/30/2021,Hebrews 13:7-16,Matthew 5:14-19,,,,,
1/30/2021,Ephesians 5:1-8,Luke 14:1-11,,,,,
1/31/2021,Colossians 3:12-16,Matthew 25:14-30,,,,,
2/1/2021,"Hebrews 11:17-23, 27-31",Mark 9:42-10:1,,,,,
2/2/2021,"Hebrews 12:25-26, 13:22-25",Mark 10:2-12,,,,,
2/2/2021,Hebrews 7:7-17,Luke 2:22-40,,,,,
2/3/2021,James 1:1-18,Mark 10:11-16,,,,,
2/4/2021,James 1:19-27,Mark 10:17-27,,,,,
2/5/2021,Hebrews 13:17-21,Luke 6:17-23,,,,,
2/5/2021,James 2:1-13,Mark 10:23-32,,,,,
2/6/2021,Colossians 1:3-6,Luke 16:10-15,,,,,
2/7/2021,1 Timothy 1:15-17,Matthew 15:21-28,,,,,
2/8/2021,James 2:14-26,Mark 10:46-52,,,,,
2/9/2021,Hebrews 7:7-17,Luke 2:22-40,,,,,
2/9/2021,James 3:1-10,Mark 11:11-23,,,,,
2/10/2021,James 3:11-4:6,Mark 11:22-26,,,,,
2/11/2021,James 4:7-5:9,Mark 11:27-33,,,,,
2/12/2021,"1 Peter 1:1-2, 10-12, 2:6-10",Mark 12:1-12,,,,,
2/13/2021,1 Thessalonians 5:14-23,Luke 17:3-10,,,,,
2/14/2021,1 Timothy 4:9-15,Luke 19:1-10,,,,,
2/15/2021,1 Peter 2:21-3:9,Mark 12:13-17,,,,,
2/16/2021,1 Peter 3:10-22,Mark 12:18-27,,,,,
2/17/2021,1 Peter 4:1-11,Mark 12:28-37,,,,,
2/18/2021,1 Peter 4:12-5:5,Mark 12:38-44,,,,,
2/19/2021,2 Peter 1:1-10,Mark 13:1-8,,,,,
2/20/2021,2 Timothy 2:11-19,Luke 18:2-8,,,,,
2/21/2021,2 Timothy 3:10-15,Luke 18:10-14,,,,,
2/22/2021,2 Peter 1:20-2:9,Mark 13:9-13,,,,,
2/23/2021,2 Peter 2:9-22,Mark 13:14-23,,,,,
2/24/2021,2 Corinthians 4:6-15,Matthew 11:2-15,,,,,
2/24/2021,2 Peter 3:1-18,Mark 13:24-31,,,,,
2/25/2021,1 John 1:8-2:6,Mark 13:31-14:2,,,,,
2/26/2021,1 John 2:7-17,Mark 14:3-9,,,,,
2/27/2021,Hebrews 13:17-21,John 10:9-16,,,,,
2/27/2021,2 Timothy 3:1-9,Luke 20:46-21:4,,,,,
2/28/2021,1 Corinthians 6:12-20,Luke 15:11-32,,,,,
3/1/2021,,1 John 2:18-3:10,Mark 11:1-11,,,,
3/2/2021,,1 John 3:11-20,Mark 14:10-42,,,,
3/3/2021,,1 John 3:21-4:6,Mark 14:43-15:1,,,,
3/4/2021,,1 John 4:20-5:21,Mark 15:1-15,,,,
3/5/2021,,2 John 1:1-13,"Mark 15:22-25, 33-41",,,,
3/6/2021,,1 Thessalonians 4:13-17,John 5:24-30,,,,
3/6/2021,,1 Corinthians 10:23-28,"Luke 21:8-9, 25-27, 33-36",,,,
3/7/2021,,1 Corinthians 8:8-9:2,Matthew 25:31-46,,,,
3/8/2021,,3 John 1:1-15,"Luke 19:29-40, 22:7-39",,,,
3/9/2021,,Hebrews 12:1-10,Matthew 20:1-16,,,,
3/9/2021,,Jude 1:1-10,"Luke 22:39-42, 45-23:1",,,,
3/10/2021,Joel 2:12-26,Joel 3:12-21,,,,,
3/11/2021,,Jude 1:11-25,"Luke 23:2-34, 44-56",,,,
3/12/2021,Zechariah 8:7-17,Zechariah 8:19-23,,,,,
3/13/2021,,Galatians 5:22-6:2,Matthew 11:27-30,,,,
3/13/2021,,"Romans 14:19-23, 16:25-27",Matthew 6:1-13,,,,
3/14/2021,,Romans 13:11-14:4,Matthew 6:14-21,,,,
3/15/2021,Isaiah 1:1-20,Genesis 1:1-13,Proverbs 1:1-20,,,,
3/16/2021,Isaiah 1:19-2:4,Genesis 1:14-23,Proverbs 1:20-33,,,,
3/17/2021,Isaiah 2:3-11,Genesis 1:24-2:3,Proverbs 2:1-22,,,,
3/18/2021,Isaiah 2:11-21,Genesis 2:4-19,Proverbs 3:1-18,,,,
3/19/2021,Isaiah 3:1-15,Genesis 2:20-3:20,Proverbs 3:19-34,,,,
3/20/2021,,2 Timothy 2:1-10,John 15:17-16:2,,,,
3/20/2021,,Hebrews 1:1-12,Mark 2:23-3:5,,,,
3/21/2021,,"Hebrews 11:24-26, 32-12:2",John 1:43-51,,,,
3/22/2021,Isaiah 4:2-5:7,Genesis 3:21-4:7,Proverbs 3:34-4:22,,,,
3/23/2021,Isaiah 5:7-16,Genesis 4:8-15,Proverbs 5:1-15,,,,
3/24/2021,Isaiah 5:16-25,Genesis 4:16-26,Proverbs 5:15-6:3,,,,
3/25/2021,Isaiah 6:1-12,Genesis 5:1-24,Proverbs 6:3-20,,,,
3/25/2021,,Hebrews 2:11-18,Luke 1:24-38,,,,
3/26/2021,Isaiah 7:1-15,Genesis 5:32-6:8,Proverbs 6:20-7:1,,,,
3/26/2021,,Hebrews 2:11-18,Luke 1:24-38,,,,
3/27/2021,,1 Thessalonians 4:13-17,John 5:24-30,,,,
3/27/2021,,Hebrews 3:12-16,Mark 1:35-44,,,,
3/28/2021,,Hebrews 7:26-8:2,John 10:9-16,,,,
3/28/2021,,Hebrews 1:10-2:3,Mark 2:1-12,,,,
3/29/2021,Isaiah 8:13-9:7,Genesis 6:9-22,Proverbs 8:1-21,,,,
3/30/2021,Isaiah 9:9-10:4,Genesis 7:1-15,Proverbs 8:32-9:11,,,,
3/31/2021,Isaiah 10:12-20,Genesis 7:6-9,Proverbs 9:12-18,,,,
3/31/2021,,Hebrews 7:26-8:2,John 10:9-16,,,,
4/1/2021,Isaiah 11:10-12:2,Genesis 7:11-8:3,Proverbs 10:1-22,,,,
4/2/2021,Isaiah 13:2-13,Genesis 8:4-21,Proverbs 10:31-11:12,,,,
4/3/2021,,1 Thessalonians 4:13-17,John 5:24-30,,,,
